,Group,Sample_ID_Prefix,Basin_Code,Stream_code,GMU,Basin,Creek,Genetic.Year,Descriptor,N,Watterson.s.theta..4Nu.,Tajima.s.theta..4Nu.,Theta.deviation,Mean.theta,Het.Ho,He.HoStDev,X..hybrid,Hyb.Notes,PVA.Extinction,PVA.Ext.L95,PVA.Ext.U95,PVA.Abundance.2.5,PVA.Abundance.50,PVA.Abund.Year,X,Y,geometry,
20,bamlist2_MAR_WIC_2000,MAR_WIC_2000,MAR,str_WIC,Eastern,Marys,Wildcat,2000,isolated,19,0.000185812,0.000218126,0.159994365,0.000201969,0.039461642,0.012994334,0,,42.70%,40.80%,44.60%,674,1130,2000,-115.2440416,41.63593471,c(-115.244041577319, 41.6359347055589)
21,bamlist2_MAR_WIC_2017,MAR_WIC_2017,MAR,str_WIC,Eastern,Marys,Wildcat,2017,isolated,20,0.000292698,0.000264695,-0.100477379,0.000278696,0.03758029,0.01268193,0.08,,42.70%,40.80%,44.60%,0,37,2010,-115.2440416,41.63593471,c(-115.244041577319, 41.6359347055589)
22,bamlist2_NFH_FOR_1997,NFH_FOR_1997,NFH,str_FOR,Eastern,North Fork Humboldt,Foreman,1997,isolated,8,0.000377137,0.000281456,-0.290562398,0.000329296,0.131587463,0.131659307,0.24,,4.00%,3.50%,5.10%,1173,1823,1997,-115.9592545,41.47686923,c(-115.95925449701, 41.4768692281715)
23,bamlist2_NFH_FOR_2017,NFH_FOR_2017,NFH,str_FOR,Eastern,North Fork Humboldt,Foreman,2017,isolated,19,0.000365161,0.000242998,-0.40174806,0.000304079,0.094900984,0.048469414,0.21,,4.00%,3.50%,5.10%,260,569,2009,-115.9592545,41.47686923,c(-115.95925449701, 41.4768692281715)
24,bamlist2_NFH_GAN_2000,NFH_GAN_2000,NFH,str_GAN,Eastern,North Fork Humboldt,Gance,2000,isolated,6,0.000243027,0.000216677,-0.114642064,0.000229852,NA,NA,0.01,,2.60%,2.10%,3.50%,888,2011,2000,-115.9681452,41.30265536,c(-115.968145247892, 41.3026553550882)
25,bamlist2_NFH_GAN_2017,NFH_GAN_2017,NFH,str_GAN,Eastern,North Fork Humboldt,Gance,2017,isolated,19,0.000396836,0.000299174,-0.280631494,0.000348005,NA,NA,0.08,,2.60%,2.10%,3.50%,1428,2791,2007,-115.9681452,41.30265536,c(-115.968145247892, 41.3026553550882)
26,bamlist2_REE_CRA_2009,REE_CRA_2009,REE,str_CRA,Eastern,Reese,Crane Canyon,2009,isolated,21,8.30E-05,5.85E-05,-0.345378262,7.08E-05,NA,NA,0,,5.40%,4.00%,6.60%,106,250,2009,-117.3389554,38.96314159,c(-117.338955395604, 38.9631415868501)
27,bamlist2_REE_MRV_2016,REE_MRV_2016,REE,str_MRV,Eastern,Reese,Marysville,2016,isolated,5,0.000184132,0.000177768,-0.035167517,0.00018095,NA,NA,0.05,,21.10%,19.00%,22.70%,21,67,1999,-117.2952065,39.01798636,c(-117.295206511049, 39.0179863558443)
28,bamlist2_REE_MHK_2000,REE_MHK_2000,REE,str_MHK,Eastern,Reese,Mohawk,2000,isolated,21,0.000118345,9.47E-05,-0.222184602,0.000106512,NA,NA,0.02,,0.20%,0.00%,0.40%,1024,1553,2000,-117.319441,38.98969004,c(-117.319440996502, 38.9896900422459)
29,bamlist2_REE_MHK_2016,REE_MHK_2016,REE,str_MHK,Eastern,Reese,Mohawk,2016,isolated,5,0.000109086,9.08E-05,-0.183422257,9.99E-05,NA,NA,0.03,,0.20%,0.00%,0.40%,568,1146,2007,-117.319441,38.98969004,c(-117.319440996502, 38.9896900422459)
30,bamlist2_REE_TNY_2001,REE_TNY_2001,REE,str_TNY,Eastern,Reese,Tierney,2001,isolated,16,0.00027384,0.000199311,-0.315033832,0.000236575,NA,NA,0,,72.50%,71.10%,74.10%,199,436,2001,-117.2969378,39.06732765,c(-117.296937765821, 39.0673276540892)
31,bamlist2_REE_TNY_2012,REE_TNY_2012,REE,str_TNY,Eastern,Reese,Tierney,2012,isolated,3,0.000151822,0.000149626,-0.014568505,0.000150724,NA,NA,0,,72.50%,71.10%,74.10%,0,0,2011,-117.2969378,39.06732765,c(-117.296937765821, 39.0673276540892)
32,bamlist2_ROC_FRZ_1997,ROC_FRZ_1997,ROC,str_FRZ,Eastern,Rock,Frazier,1997,isolated,6,0.000184542,0.000195015,0.055186793,0.000189779,NA,NA,0.04,,24.20%,20.90%,26.80%,3145,4930,1997,-116.7197216,41.28507722,c(-116.719721597555, 41.285077224242)
33,bamlist2_ROC_FRZ_2000,ROC_FRZ_2000,ROC,str_FRZ,Eastern,Rock,Frazier,2000,isolated,6,0.000235789,0.000202896,-0.149964495,0.000219343,NA,NA,0,,24.20%,20.90%,26.80%,1711,2984,2000,-116.7197216,41.28507722,c(-116.719721597555, 41.285077224242)
34,bamlist2_ROC_FRZ_2017,ROC_FRZ_2017,ROC,str_FRZ,Eastern,Rock,Frazier,2017,isolated,20,0.000175182,0.000193675,0.100272904,0.000184429,NA,NA,0,,24.20%,20.90%,26.80%,74,213,2015,-116.7197216,41.28507722,c(-116.719721597555, 41.285077224242)
35,bamlist2_ROC_ROC_2009,ROC_ROC_2009,ROC,str_ROC,Eastern,Rock,Rock,2009,isolated,14,0.000300371,0.000258105,-0.151362805,0.000279238,NA,NA,0,,8.80%,7.60%,10.40%,284,508,2009,-116.3544157,41.35066131,c(-116.354415721242, 41.3506613103067)
36,bamlist2_ROC_ROC_2017,ROC_ROC_2017,ROC,str_ROC,Eastern,Rock,Rock,2017,isolated,8,0.00023486,0.000222985,-0.051870341,0.000228923,NA,NA,0.02,,8.80%,7.60%,10.40%,148,315,2012,-116.3544157,41.35066131,c(-116.354415721242, 41.3506613103067)
37,bamlist2_ROC_TOJ_2017,ROC_TOJ_2017,ROC,str_TOJ,Eastern,Rock,Toe Jam,2017,isolated,20,0.000212834,0.000249156,0.157242037,0.000230995,NA,NA,0.02,,5.10%,3.50%,6.10%,685,1295,2017,-116.391313,41.32159653,c(-116.39131304891, 41.321596533669)
38,bamlist2_ROC_WLN_2009,ROC_WLN_2009,ROC,str_WLN,Eastern,Rock,Willow-Nelson,2009,isolated,20,0.00026854,0.000271218,0.009923472,0.000269879,NA,NA,0.08,,5.70%,4.50%,6.70%,1254,2235,2009,-116.452509,41.25930017,c(-116.452508989739, 41.2593001687703)
39,bamlist2_ROC_WLN_2017,ROC_WLN_2017,ROC,str_WLN,Eastern,Rock,Willow-Nelson,2017,isolated,10,0.00020816,0.000235067,0.121412988,0.000221614,NA,NA,0,,5.70%,4.50%,6.70%,188,448,2015,-116.452509,41.25930017,c(-116.452508989739, 41.2593001687703)
40,bamlist2_SFH_DIX_2011,SFH_DIX_2011,SFH,str_DIX,Eastern,South Fork Humboldt,Dixie,2011,isolated,6,0.000224727,0.000209255,-0.071299927,0.000216991,NA,NA,0,,33.70%,30.60%,35.20%,277,625,2011,-115.9376568,40.42232813,c(-115.937656848597, 40.4223281259426)
41,bamlist2_SFH_DIX_2014,SFH_DIX_2014,SFH,str_DIX,Eastern,South Fork Humboldt,Dixie,2014,isolated,3,0.00016517,0.000195566,0.168518885,0.000180368,NA,NA,0,,33.70%,30.60%,35.20%,82,242,2014,-115.9376568,40.42232813,c(-115.937656848597, 40.4223281259426)
42,bamlist2_SFH_LEE_2016,SFH_LEE_2016,SFH,str_LEE,Eastern,South Fork Humboldt,Lee,2016,isolated,12,0.000352552,0.000222788,-0.451087458,0.00028767,NA,NA,0.61,,12.50%,11.60%,13.70%,214,705,1998,-115.5377513,40.60644704,c(-115.537751277951, 40.6064470420336)
43,bamlist2_SFH_LNG_2012,SFH_LNG_2012,SFH,str_LNG,Eastern,South Fork Humboldt,Long Canyon,2012,isolated,5,0.000224161,0.000235518,0.049416373,0.00022984,NA,NA,0,,2.10%,1.30%,2.60%,345,972,2012,-115.4486192,40.52561367,c(-115.448619212509, 40.5256136733147)
44,bamlist2_SFH_NFG_2009,SFH_NFG_2009,SFH,str_NFG,Eastern,South Fork Humboldt,North Fork Green,2009,isolated,8,0.000139915,0.000144463,0.031989094,0.000142189,NA,NA,0,,18.70%,17.80%,19.30%,0,25,2001,-115.5419132,40.36544808,c(-115.54191317235, 40.3654480803071)
45,bamlist2_SFH_PEC_2018,SFH_PEC_2018,SFH,str_PEC,Eastern,South Fork Humboldt,Pearl,2018,isolated,19,0.000336798,0.000270334,-0.218945316,0.000303566,NA,NA,0.1,,5.70%,4.70%,6.60%,651,1272,2006,-115.5997433,40.28788495,c(-115.599743286309, 40.2878849525341)
46,bamlist2_QUI_CMC_2016,QUI_CMC_2016,QUI,str_CMC,NorthWestern,Black Rock,Colman,2016,isolated,18,0.000265238,0.000160939,-0.489465356,0.000213088,NA,NA,0.04,,5.60%,5.10%,7.60%,521,1144,2008,-118.989298,41.45084482,c(-118.989298012757, 41.4508448241299)
